expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV_GROW,MIO_EUR,IE	9 	51 	5 	5 	5 	1 	5 	2 	55 
INV_GROW,MIO_EUR,IT	123 	247 	99 	205 	170 	269 	238 	514 	221 
INV_GROW,MIO_EUR,LU	0 	30 	8 	42 	27 	32 	24 	246 	0 
INV_GROW,MIO_EUR,NL	388 	264 	183 	223 	390 	222 	216 	400 	121 
INV_GROW,MIO_EUR,NO	344 	309 	236 	201 	162 	131 	104 	201 	57 
INV_GROW,MIO_EUR,PL	115 	72 	77 	119 	183 	134 	60 	113 	54 
INV_GROW,MIO_EUR,PT	27 	61 	71 	33 	11 	6 	13 	7 	3 
INV_GROW,MIO_EUR,RO	2 	14 	7 	8 	25 	28 	39 	28 	49 
INV_GROW,MIO_EUR,SE	106 	85 	103 	102 	72 	473 	251 	328 	155 
INV_GROW,MIO_EUR,UK	2157 	2117 	1387 	1207 	1780 	2406 	1968 	2921 	2392 
INV_GROW,NR_COMP,AT	28 	20 	26 	23 	14 	13 	15 	9 	7 
INV_GROW,NR_COMP,BE	23 	92 	74 	80 	33 	40 	51 	11 	20 
INV_GROW,NR_COMP,BG	1 	0 	0 	0 	1 	2 	0 	2 	0 
INV_GROW,NR_COMP,CH	16 	13 	10 	13 	9 	11 	21 	5 	11 
INV_GROW,NR_COMP,CZ	3 	1 	2 	1 	0 	2 	3 	3 	1 
INV_GROW,NR_COMP,DE	409 	498 	461 	375 	252 	236 	143 	97 	42 
INV_GROW,NR_COMP,DK	5 	7 	12 	7 	1 	14 	8 	5 	4 
INV_GROW,NR_COMP,EL	0 	0 	0 	0 	0 	1 	1 	1 	1 
INV_GROW,NR_COMP,ES	23 	34 	38 	23 	38 	45 	25 	22 	15 
INV_GROW,NR_COMP,EU15	1080 	1250 	1099 	1008 	877 	966 	725 	568 	319 
INV_GROW,NR_COMP,FI	24 	25 	30 	31 	30 	37 	17 	10 	7 
